61941_2019.jpg : k=30, PSNR=35.78dB; k=10, PSNR=23.19dB; k=5, PSNR=20.08dB; k=3, PSNR=18.41dB; k=1, PSNR=15.51dB; 
61942_2019.jpg : k=30, PSNR=35.28dB; k=10, PSNR=23.80dB; k=5, PSNR=20.84dB; k=3, PSNR=19.33dB; k=1, PSNR=17.07dB; 
61943_2019.jpg : k=30, PSNR=35.05dB; k=10, PSNR=23.37dB; k=5, PSNR=19.77dB; k=3, PSNR=18.10dB; k=1, PSNR=15.24dB; 
61944_2019.jpg : k=30, PSNR=38.35dB; k=10, PSNR=25.75dB; k=5, PSNR=22.45dB; k=3, PSNR=20.39dB; k=1, PSNR=17.96dB; 
61945_2019.jpg : k=30, PSNR=39.18dB; k=10, PSNR=25.54dB; k=5, PSNR=21.64dB; k=3, PSNR=19.86dB; k=1, PSNR=16.00dB; 
61946_2019.jpg : k=30, PSNR=41.37dB; k=10, PSNR=26.10dB; k=5, PSNR=22.72dB; k=3, PSNR=21.15dB; k=1, PSNR=18.69dB; 
61947_2019.jpg : k=30, PSNR=41.37dB; k=10, PSNR=26.10dB; k=5, PSNR=22.72dB; k=3, PSNR=21.15dB; k=1, PSNR=18.69dB; 
61948_2019.jpg : k=30, PSNR=33.60dB; k=10, PSNR=22.70dB; k=5, PSNR=20.13dB; k=3, PSNR=18.55dB; k=1, PSNR=15.96dB; 
61949_2019.jpg : k=30, PSNR=34.36dB; k=10, PSNR=22.60dB; k=5, PSNR=18.95dB; k=3, PSNR=17.13dB; k=1, PSNR=14.55dB; 
61950_2019.jpg : k=30, PSNR=38.56dB; k=10, PSNR=25.06dB; k=5, PSNR=22.00dB; k=3, PSNR=20.18dB; k=1, PSNR=18.13dB; 
61951_2019.jpg : k=30, PSNR=39.36dB; k=10, PSNR=24.53dB; k=5, PSNR=21.15dB; k=3, PSNR=19.81dB; k=1, PSNR=17.84dB; 
61952_2019.jpg : k=30, PSNR=35.15dB; k=10, PSNR=22.48dB; k=5, PSNR=19.43dB; k=3, PSNR=17.80dB; k=1, PSNR=15.16dB; 
61953_2019.jpg : k=30, PSNR=39.11dB; k=10, PSNR=25.15dB; k=5, PSNR=21.26dB; k=3, PSNR=19.50dB; k=1, PSNR=16.72dB; 
61954_2019.jpg : k=30, PSNR=38.21dB; k=10, PSNR=25.52dB; k=5, PSNR=22.74dB; k=3, PSNR=21.12dB; k=1, PSNR=18.44dB; 
61955_2019.jpg : k=30, PSNR=40.74dB; k=10, PSNR=26.27dB; k=5, PSNR=22.52dB; k=3, PSNR=20.90dB; k=1, PSNR=18.39dB; 
61956_2019.jpg : k=30, PSNR=38.60dB; k=10, PSNR=24.25dB; k=5, PSNR=21.02dB; k=3, PSNR=19.31dB; k=1, PSNR=17.18dB; 
61957_2019.jpg : k=30, PSNR=37.82dB; k=10, PSNR=23.89dB; k=5, PSNR=19.93dB; k=3, PSNR=17.67dB; k=1, PSNR=14.85dB; 
61958_2019.jpg : k=30, PSNR=37.90dB; k=10, PSNR=24.17dB; k=5, PSNR=20.44dB; k=3, PSNR=17.17dB; k=1, PSNR=14.03dB; 
61959_2019.jpg : k=30, PSNR=35.42dB; k=10, PSNR=24.04dB; k=5, PSNR=21.06dB; k=3, PSNR=18.94dB; k=1, PSNR=15.40dB; 
61960_2019.jpg : k=30, PSNR=35.69dB; k=10, PSNR=23.08dB; k=5, PSNR=19.87dB; k=3, PSNR=17.94dB; k=1, PSNR=14.90dB; 
61961_2019.jpg : k=30, PSNR=35.59dB; k=10, PSNR=21.99dB; k=5, PSNR=18.09dB; k=3, PSNR=15.84dB; k=1, PSNR=12.77dB; 
61962_2019.jpg : k=30, PSNR=32.09dB; k=10, PSNR=20.73dB; k=5, PSNR=18.06dB; k=3, PSNR=16.40dB; k=1, PSNR=14.17dB; 
61963_2019.jpg : k=30, PSNR=36.93dB; k=10, PSNR=22.48dB; k=5, PSNR=18.69dB; k=3, PSNR=16.79dB; k=1, PSNR=13.87dB; 
61964_2019.jpg : k=30, PSNR=44.85dB; k=10, PSNR=26.26dB; k=5, PSNR=22.68dB; k=3, PSNR=20.10dB; k=1, PSNR=16.91dB; 
61965_2019.jpg : k=30, PSNR=37.00dB; k=10, PSNR=23.18dB; k=5, PSNR=19.16dB; k=3, PSNR=17.20dB; k=1, PSNR=14.39dB; 
